name,address,average_rating,number_of_reviews,place_in_rating,award_text,years_text,distance_from,photo1,photo2,photo3,photo4,curl,f1,f2,f3,start,end,coords
Небарщи,"Россия, Санкт-Петербург, Ковенский переулок, 22-24","5,0 ",2 отзыва,№ 472 из 677 – Бар – Санкт-Петербург,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d14096202-Reviews-Nebarshhi-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб",ВРЕМЯ ПРИЕМА ПИЩИ: Ужин,,16:00,02:00,"(30.362338, 59.937436)"
Illi Lounge Bar,"Россия, Санкт-Петербург, улица Красного Курсанта, 5/11","4,5 ",9 отзывов,№ 3 846 из 6 851 – Рестораны – Санкт-Петербург,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d11797733-Reviews-Illi_Lounge_Bar-St_Petersburg_Northwestern_District.html,"ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",,,10:00,06:00,"(30.292943, 59.95521)"
Республика Кофе,"Россия, Санкт-Петербург, Московский проспект, 206","4,0 ",6 отзывов,№ 424 из 640 – Паб – Санкт-Петербург,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d3775311-Reviews-Republic_Of_Coffee-St_Petersburg_Northwestern_District.html,ТИП КУХНИ: Паб,ВРЕМЯ ПРИЕМА ПИЩИ: Ужин,УСЛУГИ: Бронирование,,,"(30.322291, 59.857301)"
Koda Bar,"Россия, Санкт-Петербург, проспект Энгельса, 124к1","5,0 ",2 отзыва,№ 454 из 668 – Итальянская – Санкт-Петербург,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d12010299-Reviews-Koda_Bar-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 687 руб - 3 091 руб,"ТИП КУХНИ: Итальянская, Мексиканская, Американская, Уличная еда",,,,"(30.324348, 60.040222)"
Таверна,"Россия, Санкт-Петербург, Кемская улица, 1","4,5 ",3 отзыва,№ 444 из 640 – Паб – Санкт-Петербург,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d6119893-Reviews-Tavern-St_Petersburg_Northwestern_District.html,ТИП КУХНИ: Паб,,,,,"(30.259571, 59.973221)"
Blinders Bottle shop,"Россия, Санкт-Петербург, набережная канала Грибоедова, 26","4,0 ",4 отзыва,№ 3 918 из 6 851 – Рестораны – Санкт-Петербург,,,"0,0 км от: Каза́нский кафедра́льный собо́р","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d15364580-Reviews-Blinders_Bottle_shop-St_Petersburg_Northwestern_District.html,"ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",,,15:00,01:00,"(30.326055, 59.933041)"
Формула Кино,"Россия, Санкт-Петербург, Лиговский проспект, 30","3,5 ",31 отзыв,№ 495 из 677 – Бар – Санкт-Петербург,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d8346499-Reviews-Formula_Kino-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Русская, Бар, Фастфуд, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",,10:00,23:00,"(30.360613, 59.927558)"
Тара Бруч,"Россия, Санкт-Петербург, Торжковская улица, 6","4,5 ",2 отзыва,№ 496 из 677 – Бар – Санкт-Петербург,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d11488061-Reviews-Tara_Brooch-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Европейская, Паб, Винный бар",,,,,"(30.308349, 59.988536)"
Талер,"Россия, Санкт-Петербург, Пушкин, Конюшенная улица, 29","4,0 ",1 отзыв,№ 7 из 8 – Паб – Пушкин,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g811323-d6117714-Reviews-Taler-Pushkin_Pushkinsky_District_St_Petersburg_Northwestern_District.html,ТИП КУХНИ: Паб,"ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",УСЛУГИ: Бронирование,10:00,21:00,"(30.414162, 59.719982)"
Авто-Ретро,"Россия, Санкт-Петербург, Афонская улица, 1к2","4,0 ",1 отзыв,№ 587 из 677 – Бар – Санкт-Петербург,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8344429-Reviews-Auto_Retro-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб",,,,,"(30.306014, 60.016231)"
Джуси Смок,"Россия, Санкт-Петербург, проспект Луначарского, 15к1","3,5 ",2 отзыва,№ 590 из 677 – Бар – Санкт-Петербург,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8346942-Reviews-Juicy_Smoke-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб",ВРЕМЯ ПРИЕМА ПИЩИ: Ужин,,16:00,01:00,"(30.333448, 60.04211)"
КроликБар,"Россия, Санкт-Петербург, улица Академика Лебедева, 15","3,0 ",1 отзыв,№ 610 из 677 – Бар – Санкт-Петербург,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d6119116-Reviews-Krolikbar-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб",,,,,"(30.352115, 59.95662)"
Долинск,"Россия, Санкт-Петербург, Пулковская улица, 2к1","3,0 ",1 отзыв,№ 610 из 677 – Бар – Санкт-Петербург,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d3759242-Reviews-Dolinsk-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб",ВРЕМЯ ПРИЕМА ПИЩИ: Ужин,УСЛУГИ: Бронирование,,,"(30.349366, 59.841844)"
Синдерелла,"Россия, Санкт-Петербург, Невский проспект, 74-76","3,5 ",2 отзыва,№ 596 из 677 – Бар – Санкт-Петербург,,,"0,4 км от: Госуда́рственный Эрмита́ж",,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8345773-Reviews-Cinderella-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб",ВРЕМЯ ПРИЕМА ПИЩИ: Ужин,,,,"(30.347336, 59.933023)"
Очаг,"Россия, Санкт-Петербург, Репищева улица, 14","4,0 ",1 отзыв,№ 595 из 677 – Бар – Санкт-Петербург,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8348365-Reviews-Ochag-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",,10:00,23:00,"(30.281481, 60.024877)"
Максбирхаус,"Россия, Санкт-Петербург, Балканская площадь, 5к4","3,0 ",1 отзыв,№ 610 из 677 – Бар – Санкт-Петербург,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8347930-Reviews-Maxbeerhouse-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб",,,,,"(30.375965, 59.831892)"
"Ресторан Пивоварня ""202""","Россия, Санкт-Петербург, Сестрорецк, Приморское шоссе, 202","3,0 ",19 отзывов,№ 1 из 1 – Паб с пивоварней – Сестрорецк,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g2345793-d8819800-Reviews-Restaurant_Brewery_202-Sestroretsk_Kurortny_District_St_Petersburg_Northwestern_.html,"ТИП КУХНИ: Паб с пивоварней, Паб",СПЕЦИАЛИЗИРОВАННОЕ МЕНЮ: Подходит для вегетарианцев,ВРЕМЯ ПРИЕМА ПИЩИ: Бранч,,,"(29.975676, 60.049792)"
Blackberry,"Россия, Санкт-Петербург, Коломяжский проспект, 17к1","3,0 ",9 отзывов,№ 630 из 677 – Бар – Санкт-Петербург,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d6117981-Reviews-Blackberry-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб",ВРЕМЯ ПРИЕМА ПИЩИ: Ужин,,,,"(30.299034, 60.005437)"
Beermingham,"Россия, Санкт-Петербург, Выборгское шоссе, 15","3,0 ",7 отзывов,№ 582 из 640 – Паб – Санкт-Петербург,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d6940859-Reviews-Beermingham-St_Petersburg_Northwestern_District.html,ТИП КУХНИ: Паб,,,,,"(30.311862, 60.05295)"
Клуб-бар Fever,"Россия, Санкт-Петербург, Кадетская линия, 19","3,5 ",15 отзывов,№ 625 из 677 – Бар – Санкт-Петербург,,,"0,7 км от: Памятник Петру I ""Медный всадник""",,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d3759721-Reviews-Club_Bar_Fever-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Европейская, Паб, Русская","ВРЕМЯ ПРИЕМА ПИЩИ: Завтрак, Обед, Ужин",УСЛУГИ: Бронирование,,,"(30.287257, 59.944688)"
1000 И 1,"Россия, Санкт-Петербург, проспект Культуры, 29к1","2,0 ",1 отзыв,№ 633 из 677 – Бар – Санкт-Петербург,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8441225-Reviews-1000_I_1-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",,11:00,00:00,"(30.380601, 60.049563)"
Пивной Бар Канн,"Россия, Санкт-Петербург, Новочеркасский проспект, 34","2,0 ",1 отзыв,№ 599 из 640 – Паб – Санкт-Петербург,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d7695426-Reviews-Pivnoi_Bar_Kann-St_Petersburg_Northwestern_District.html,ТИП КУХНИ: Паб,,,,,"(30.414413, 59.927004)"
БуратиноБар,"Россия, Санкт-Петербург, набережная реки Мойки, 67-69","2,5 ",2 отзыва,№ 6 398 из 6 851 – Рестораны – Санкт-Петербург,,,"0,5 км от: Каза́нский кафедра́льный собо́р","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d12086475-Reviews-BuratinoBar-St_Petersburg_Northwestern_District.html,"ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",,,00:00,23:45,"(30.315958, 59.933595)"
Гризли Бар,"Россия, Санкт-Петербург, Невский проспект, 96","4,0 ",346 отзывов,№ 376 из 410 – Американская – Санкт-Петербург,,,"0,0 км от: Невский проспект","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d4308114-Reviews-Grizzly_Bar-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 300 руб - 1 490 руб,"ТИП КУХНИ: Американская, Бар, Европейская","СПЕЦИАЛИЗИРОВАННОЕ МЕНЮ: Подходит для вегетарианцев, Для веганов",00:00,00:00,"(30.354568, 59.932112)"
Гриль Репаблик,"Россия, Санкт-Петербург, Тепловозная улица, 34","2,5 ",2 отзыва,№ 379 из 410 – Американская – Санкт-Петербург,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d7695371-Reviews-Grill_Republic-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Американская, Паб",,,,,"(30.501253, 59.832408)"
Msmbar,"Россия, Санкт-Петербург, Пискарёвский проспект, 1","2,0 ",1 отзыв,№ 6 504 из 6 851 – Рестораны – Санкт-Петербург,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d18343531-Reviews-Msmbar-St_Petersburg_Northwestern_District.html,,,,,,"(30.405511, 59.957584)"
Жабар,"Россия, Санкт-Петербург, улица Комиссара Смирнова, 5/7","2,0 ",2 отзыва,№ 646 из 677 – Бар – Санкт-Петербург,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8351598-Reviews-Zhabar-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Завтрак, Обед, Ужин",,00:00,23:59,"(30.352483, 59.962859)"
У Портоса,"Россия, Санкт-Петербург, Тихорецкий проспект, 15к1","2,5 ",2 отзыва,№ 645 из 677 – Бар – Санкт-Петербург,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d6120018-Reviews-U_Portosa-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб",,,,,"(30.368662, 60.015925)"
Бар Явка Шпионки,"Россия, Санкт-Петербург, набережная канала Грибоедова, 28/1","4,0 ",7 отзывов,№ 2 818 из 2 914 – Европейская – Санкт-Петербург,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d14780611-Reviews-Yavka_Shpionki_Bar-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 800 руб - 1 000 руб,"ТИП КУХНИ: Европейская, Гриль, Русская",,,,"(30.32592, 59.93259)"
Пим,"Россия, Санкт-Петербург, Туристская улица, 30к1","1,0 ",1 отзыв,№ 649 из 677 – Бар – Санкт-Петербург,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8348696-Reviews-Pim-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб",,,,,"(30.21028, 60.005036)"
The DogWalk Bar & CatWalk Stage,"Россия, Санкт-Петербург, Гражданская улица, 13-15","3,5 ",6 отзывов,№ 6 583 из 6 851 – Рестораны – Санкт-Петербург,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d14643466-Reviews-The_DogWalk_Bar_CatWalk_Stage-St_Petersburg_Northwestern_District.html,"ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",,,00:00,01:00,"(30.312392, 59.928145)"
Classico Bar & Cafe,"Россия, Санкт-Петербург, улица Типанова, 18","5,0 ",6 отзывов,№ 91 из 91 – Винный бар – Санкт-Петербург,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d7997809-Reviews-Classico_Bar_Cafe-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 1 000 руб - 10 000 руб,ТИП КУХНИ: Винный бар,,,,"(30.334275, 59.851892)"
Руки Вверх бар,"Россия, Санкт-Петербург, набережная канала Грибоедова, 28/1","3,5 ",94 отзыва,№ 142 из 142 – Бары и клубы – Санкт-Петербург,,,"0,2 км от: Каза́нский кафедра́льный собо́р","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d4497140-Reviews-Ruki_Vverh_Bar-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 1 000 руб - 1 500 руб,"ТИП КУХНИ: Бар, Европейская",ВРЕМЯ ПРИЕМА ПИЩИ: Напитки,,,"(30.32592, 59.93259)"
Шале,"Россия, Санкт-Петербург, улица Лизы Чайкиной, 18",,,,,,"1,3 км от: Петропавловский Собор",,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d6120244-Reviews-Chalet-St_Petersburg_Northwestern_District.html,ТИП КУХНИ: Паб,,,,,"(30.302528, 59.955439)"
Паб-Гавань,"Россия, Санкт-Петербург, Приморский проспект, 137к1",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d6119455-Reviews-Pub_Gavan-St_Petersburg_Northwestern_District.html,ТИП КУХНИ: Паб,,,,,"(30.216146, 59.983531)"
Pablo Hookahbar,"Россия, Санкт-Петербург, улица Савушкина, 121к2",,,,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d14184129-Reviews-Pablo_Hookahbar-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 600 руб - 1 000 руб,ТИП КУХНИ: Закусочная,УСЛУГИ: Обслуживание посетителей за столиками,,,"(30.225246, 59.986929)"
Black Books Bar,"Россия, Санкт-Петербург, улица Рубинштейна, 29/28","5,0 ",14 отзывов,№ 141 из 142 – Бары и клубы – Санкт-Петербург,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d13875688-Reviews-Black_Books_Bar-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Итальянская, Русская","ВРЕМЯ ПРИЕМА ПИЩИ: Ужин, Открыто допоздна, Напитки","УСЛУГИ: Подают алкоголь, Места для сидения, Обслуживание посетителей за столиками",00:00,00:00,"(30.342467, 59.926841)"
БарРжу,"Россия, Санкт-Петербург, Лиговский проспект, 51",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d6118553-Reviews-BarRzhu-St_Petersburg_Northwestern_District.html,ТИП КУХНИ: Паб,,,,,"(30.359499, 59.929393)"
Рино,"Россия, Санкт-Петербург, проспект Королёва, 63к2",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8349283-Reviews-Rino-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",,00:00,23:00,"(30.244919, 60.033193)"
Рифа,"Россия, Санкт-Петербург, улица Трефолева, 11",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8349235-Reviews-Rifa-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",,00:00,01:00,"(30.273854, 59.890184)"
Политработник,"Россия, Санкт-Петербург, Гжатская улица, 22к4",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8348989-Reviews-Politrabotnik-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Завтрак, Обед, Ужин",,00:00,23:59,"(30.388281, 60.01365)"
Пивариус,"Россия, Санкт-Петербург, проспект Авиаконструкторов, 49",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8348746-Reviews-Pivarius-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",,11:00,00:00,"(30.223611, 60.027898)"
Носорог,"Россия, Санкт-Петербург, Центральный район, улица Ломоносова, 1",,,,,,"0,7 км от: Аничков мост",,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8348304-Reviews-Nosorog-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб",ВРЕМЯ ПРИЕМА ПИЩИ: Ужин,,,,"(30.326774, 59.932315)"
Красная Собака,"Россия, Санкт-Петербург, улица Маяковского, 36-38",,,,,,"0,1 км от: Невский проспект",,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8347406-Reviews-Krasnaya_Sobaka-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Завтрак, Обед, Ужин",,00:00,23:59,"(30.3549, 59.940524)"
К'Ок,"Россия, Санкт-Петербург, улица Типанова, 8",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8347332-Reviews-K_Ok-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",,00:00,23:00,"(30.331903, 59.851878)"
Инсомния,"Россия, Санкт-Петербург, Полтавская улица, 8",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8347232-Reviews-Insomnia-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб",ВРЕМЯ ПРИЕМА ПИЩИ: Ужин,,17:00,00:00,"(30.370791, 59.927797)"
Город,"Россия, Санкт-Петербург, проспект Королёва, 61",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8346670-Reviews-Gorod-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",,11:00,23:00,"(30.243419, 60.031207)"
Фирма Канопус,"Россия, Санкт-Петербург, улица Восстания, 12",,,,,,"0,3 км от: Невский проспект",,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8346460-Reviews-Firma_Kanopus-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Завтрак, Обед, Ужин",,09:00,22:00,"(30.36002, 59.936246)"
Эври Дей,"Россия, Санкт-Петербург, проспект Авиаконструкторов, 2",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8346360-Reviews-Every_Day-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",УСЛУГИ: Бронирование,00:00,23:00,"(30.246231, 60.009588)"
Европейский,"Россия, Санкт-Петербург, Лиговский проспект, 137",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8346355-Reviews-Europeiskiy-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",,11:00,23:00,"(30.351468, 59.917353)"
Атами,"Россия, Санкт-Петербург, Гжатская улица, 22к3",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8344503-Reviews-Atami-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",,00:00,23:00,"(30.387635, 60.012543)"
Ария,"Россия, Санкт-Петербург, 7-я Красноармейская улица, 28",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8344352-Reviews-Ariya-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Завтрак, Обед, Ужин",,00:00,23:59,"(30.309239, 59.911448)"
Галерея Экспериментального Звука 21,"Россия, Санкт-Петербург, Лиговский проспект, 53",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d3766422-Reviews-Galereya_Experimentalnogo_Zvuka_21-St_Petersburg_Northwestern_District.html,ТИП КУХНИ: Паб,ВРЕМЯ ПРИЕМА ПИЩИ: Ужин,УСЛУГИ: Бронирование,,,"(30.359338, 59.929136)"
Алекс,"Россия, Санкт-Петербург, Большой проспект Васильевского острова, 83",,,,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d8344194-Reviews-Aleks-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",,11:00,20:00,"(30.254001, 59.933577)"
