name,address,average_rating,number_of_reviews,place_in_rating,award_text,years_text,distance_from,photo1,photo2,photo3,photo4,curl,f1,f2,f3,start,end,coords
Hoppy Cat,"Россия, Санкт-Петербург, Московский проспект, 183-185","5,0 ",3 отзыва,№ 191 из 410 – Американская – Санкт-Петербург,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",,https://www.tripadvisor.ru/Restaurant_Review-g298507-d15091442-Reviews-Hoppy_Cat-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Американская, Бар, Паб, Русская","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин, Открыто допоздна, Напитки","УСЛУГИ: Бронирование, Банкет, Места для сидения, Имеется парковка, Парковка на улице, Телевизор, Подают алкоголь, Бар, Вино и пиво, Бесплатный Wi-Fi, Принимаются кредитные карты",00:00,23:00,"(30.319839, 59.855331)"
Bermudy,"Россия, Санкт-Петербург, Банковский переулок, 6","4,0 ",13 отзывов,№ 426 из 677 – Бар – Санкт-Петербург,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d6867752-Reviews-Bermudy-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб, Русская",ВРЕМЯ ПРИЕМА ПИЩИ: Напитки,,,,"(30.32504, 59.930219)"
WINEFINE bar,"Россия, Санкт-Петербург, Малый проспект Васильевского острова, 15","5,0 ",3 отзыва,№ 51 из 83 – Закусочная – Санкт-Петербург,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d15866130-Reviews-WINEFINE_bar-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 150 руб - 490 руб,"ТИП КУХНИ: Закусочная, Винный бар",ВРЕМЯ ПРИЕМА ПИЩИ: Ужин,16:00,23:00,"(30.275363, 59.947541)"
Бар Карабас,"Россия, Санкт-Петербург, Поварской переулок, 14","4,0 ",6 отзывов,№ 370 из 640 – Паб – Санкт-Петербург,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d15136987-Reviews-Karabas_Bar-St_Petersburg_Northwestern_District.html,ТИП КУХНИ: Паб,,,,,"(30.35207, 59.928952)"
Блуждающий Форвард,"Россия, Санкт-Петербург, улица Всеволода Вишневского, 3","4,0 ",5 отзывов,№ 1 597 из 2 914 – Европейская – Санкт-Петербург,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d13814847-Reviews-Bluzhdayushhiy_Forward-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 300 руб - 800 руб,"ТИП КУХНИ: Европейская, Русская","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин, Открыто допоздна, Напитки",00:00,01:00,"(30.303741, 59.966656)"
Треска,"Россия, Санкт-Петербург, набережная реки Фонтанки, 20","3,5 ",22 отзыва,№ 372 из 640 – Паб – Санкт-Петербург,,,"0,6 км от: Марсово Поле","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d10845037-Reviews-Treska-St_Petersburg_Northwestern_District.html,ТИП КУХНИ: Паб,"ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин","УСЛУГИ: Бронирование, Места для сидения, Обслуживание посетителей за столиками",13:00,01:00,"(30.341192, 59.940623)"
Учкудук,"Россия, Санкт-Петербург, 9-я линия Васильевского острова, 16","4,5 ",4 отзыва,№ 433 из 677 – Бар – Санкт-Петербург,,,"0,5 км от: Сфинксы у Академии художеств","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d8350912-Reviews-Uchkuduk-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",,11:00,23:00,"(30.279163, 59.939208)"
BM4,"Россия, Санкт-Петербург, Большая Морская улица, 4","4,0 ",7 отзывов,№ 372 из 668 – Итальянская – Санкт-Петербург,,,"0,4 км от: Госуда́рственный Эрмита́ж","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",https://www.tripadvisor.ru/Restaurant_Review-g298507-d17622766-Reviews-BM4-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 164 руб - 1 704 руб,"ТИП КУХНИ: Итальянская, Русская","ВРЕМЯ ПРИЕМА ПИЩИ: Обед, Ужин",11:00,23:00,"(30.318096, 59.937432)"
Бар На Моховой,"Россия, Санкт-Петербург, Моховая улица, 27-29","4,5 ",5 отзывов,№ 438 из 677 – Бар – Санкт-Петербург,,,,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",,https://www.tripadvisor.ru/Restaurant_Review-g298507-d6366396-Reviews-Bar_Na_Mokhovoi-St_Petersburg_Northwestern_District.html,"ТИП КУХНИ: Бар, Паб",ВРЕМЯ ПРИЕМА ПИЩИ: Напитки,,,,"(30.344947, 59.94202)"
У Швейка,"Россия, Санкт-Петербург, набережная реки Фонтанки, 38","5,0 ",2 отзыва,№ 1 672 из 2 914 – Европейская – Санкт-Петербург,,,,,,,,https://www.tripadvisor.ru/Restaurant_Review-g298507-d19256989-Reviews-U_Shveyka-St_Petersburg_Northwestern_District.html,ДИАПАЗОН ЦЕН: 100 руб - 2 000 руб,"ТИП КУХНИ: Европейская, Чешская",,,,"(30.344722, 59.934096)"
